Req#,Requirement,Explanation,Testable Assertions,Test cases,Tags,Priority,Version & Section/Sub-Section,Comments,Status,Date Integrated,AHA Idea reference
,"An LRS's Statement API can process a GET request with ""registration"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-278
,"An LRS's Statement API can process a GET request with ""activity"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-277
,"An LRS's Statement API can process a GET request with ""verb"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-276
,"An LRS's Statement API can process a GET request with ""agent"" as a parameter Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-275
,"An LRS's Statement API can process a GET request with ""voidedStatementId"" as a parameter (7.2.3)",,,,"Defined by spec,Statement API,Voiding",0,"""1.0.2_ref_text"": ""7.2.3"",

""1.0.2_ref"": ""7.2.3"",

""1.0.3_ref"": ""part3.2.1.3"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-274
,"An LRS's Statement API can process a GET request with ""statementId"" as a parameter (7.2.3)",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3"",

""1.0.2_ref"": ""7.2.3"",

""1.0.3_ref"": ""part3.2.1.3"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-273
,An LRS's Statement API accepts GET requests (7.2.3),,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.3"",

""1.0.2_ref"": ""7.2.3"",

""1.0.3_ref"": ""part3.2.1.3"",

""1.0.3_link"": [""Communication.md#2.1.3.s1""]",,Integrated,,XAPI-I-272
,"A GET request is defined as either a GET request or a POST request containing a GET request (7.2.3, 7.2.2.e)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.2.3, 7.2.2.e"",

""1.0.2_ref"": ""7.2.3, 7.2.2.e"",

""1.0.3_ref"": ""part3.2.1.2.e, part3.2.1.3"",

""1.0.3_link"": [

""Communication.md#2.1.2.s2.b2""

]",,Integrated,,XAPI-I-271
,An LRS's Statement API upon processing a successful POST request returns code 204 No Content and all Statement UUIDs within the POST Implicit (7.2.2),,,,Implied by spec,0,,"Megan Bowe Aug 24, 2016

Incorrect error code, should be 200. This requirement should be removed. See xAPI-I-477 for the correct requirement applying to 1.0.2 and 1.0.3.",Integrated,,XAPI-I-270
,An LRS's Statement API accepts POST requests (7.2.2),,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.2"",

""1.0.2_ref"": ""7.2.2"",

""1.0.3_ref"": ""part3.2.1.2"",

""1.0.3_link"": [""Communication.md#2.1.2.s1""]",,Integrated,,XAPI-I-269
,"A POST request is defined as a ""pure"" POST, as opposed to a GET taking on the form of a POST (7.2.2.e)",,,,Defined by spec,0,,,Integrated,,XAPI-I-268
,"An LRS's Statement API rejects with error code 409 Conflict any Statement with the ""statementID"" parameter equal to a Statement in the LRS already Implicit (7.2.1.b, 7.2.2.b)",,,,Implied by spec,0,"""1.0.2_ref_text"": ""7.2.1.b, 7.2.2.b"",

""1.0.2_ref"": ""7.2.1.b, 7.2.2.b"",

""1.0.3_ref"": ""part3.2.1.1.a"",

""1.0.3_link"": [""Communication.md#2.1.1.s2.b2""]",,Integrated,,XAPI-I-267
,An LRS's Statement API upon processing a successful PUT request returns code 204 No Content (7.2.1),,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""7.2.1"",

""1.0.2_ref"": ""7.2.1"",

""1.0.3_ref"": ""part3.2.1.1"",

""1.0.3_link"": [""Communication.md#2.1.1.s1""]",,Integrated,,XAPI-I-266
,"An LRS cannot modify a Statement, state, or Object in the event it receives a Statement with statementID equal to a Statement in the LRS already. (7.2.1.a, 7.2.2.b)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.2.1.a, 7.2.2.b"",

""1.0.2_ref"": ""7.2.1.a, 7.2.2.b"",

""1.0.3_ref"": ""part3.2.1.1.a"",

""1.0.3_link"": [""Communication.md#2.1.1.s2.b2""]",,Integrated,,XAPI-I-265
,"An LRS's Statement API accepts PUT requests only if the ""statementId"" parameter is a String (Type, 7.2.1.table1.b)",,,,"Defined by spec,Statement API",0,"""1.0.2_ref_text"": ""Type, 7.2.1.table1.b"",

""1.0.2_ref"": ""7.2.1.table1.a"",

""1.0.3_ref"": ""part3.2.1.1.table1.row1.a"",

""1.0.3_link"": [""Communication.md#2.1.1.s1.table1.row1""]",,Integrated,,XAPI-I-264
,"An LRS's Statement API accepts PUT requests only if it contains a ""statementId"" parameter (Multiplicity, 7.2.1.table1.a)",,,,"Defined by spec,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.2.1.table1.a"",

""1.0.2_ref"": ""7.2.1.table1.a"",

""1.0.3_ref"": ""part3.2.1.1.table1.row1"",

""1.0.3_link"": [""Communication.md#2.1.1.s1.table1.row1""]",,Integrated,,XAPI-I-263
,An LRS's Statement API rejects with Error Code 400 Bad Request any DELETE request (7.2),,,,Defined by spec,0,,,Integrated,,XAPI-I-262
,An LRS's Statement API accepts PUT requests (7.2.1),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.2.1"",

""1.0.2_ref"": ""7.2.1"",

""1.0.3_ref"": ""part3.2.1.1"",

""1.0.3_link"": [""Communication.md#2.1.1.s1""]",,Integrated,,XAPI-I-261
,"An LRS has a Statement API with endpoint ""base IRI""+""/statements"" (7.2)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.2"",

""1.0.2_ref"": ""7.2"",

""1.0.3_ref"": ""part3.2.1"",

""1.0.3_link"": [""Communication.md#2.0""]",,Integrated,,XAPI-I-260
,An LRS rejects a Statement due to network/server issues with an error code of 500 Internal Server Error (7.1),,,,Defined by spec,0,,,Integrated,,XAPI-I-259
,"An LRS must be configurable to accept a Statement of any size (within reason of modern day storage capacity) (7.1.b, Implicit)",,,,Implied by spec,0,,,Integrated,,XAPI-I-258
,An LRS rejects a Statement due to size if the Statement exceeds the size limit the LRS is configured to with error code 413 Request Entity Too Large (7.1),,,,Defined by spec,0,,,Integrated,,XAPI-I-257
,"An LRS rejects a Statement of insufficient permissions (credentials are valid, but not adequate) with error code 403 Forbidden (7.1)",,,,"Defined by spec,Security and Authentication",0,"""1.0.2_ref_text"": ""7.1"",

""1.0.2_ref"": ""7.1"",

""1.0.3_ref"": ""part3.3.2.c"",

""1.0.3_link"": [

""Communication.md#3.2.s3.b11""

]",,Integrated,,XAPI-I-256
,An LRS rejects a Statement of bad authorization (either authentication needed or failed credentials) with error code 401 Unauthorized (7.1),,,,"Defined by spec,Security and Authentication",0,"""1.0.2_ref_text"": ""7.1"",

""1.0.2_ref"": ""7.1"",

""1.0.3_ref"": ""part3.3.2.b"",

""1.0.3_link"": [

""Communication.md#4.0.s2.b2""

]",,Integrated,,XAPI-I-255
,An LRS returns the correct corresponding error code when an error condition is met (7.0.e),,,,Defined by spec,0,,,Integrated,,XAPI-I-254
,An LRS can only reject Statements using the error codes in this specification Implicit,,,,Implied by spec,0,,,Integrated,,XAPI-I-253
,"An LRS does not process any batch of Statements in which one or more Statements is rejected and if necessary, restores the LRS to the state in which it was before the batch began processing (7.0.c, Implicit)",,,,Implied by spec,0,"""1.0.2_ref_text"": ""7.0.c, **Implicit**"",

""1.0.2_ref"": ""7.0.c, **Implicit**"",

""1.0.3_ref"": ""part3.3.2.q"",

""1.0.3_link"": [""Communication.md#3.2.s3.b9""]",,Integrated,,XAPI-I-252
,An LRS rejects with error code 405 Method Not Allowed to any request to an API which uses a method not in this specification Implicit ONLY in that HTML normally does this behavior,,,,Implied by spec,0,,,Integrated,,XAPI-I-251
,An LRS rejects with error code 400 Bad Request any request to an API which uses a parameter with differing case (7.0.b),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.0.b"",

""1.0.2_ref"": ""7.0.b"",

""1.0.3_ref"": ""part3.3.2.p"",

""1.0.3_link"": [""Communication.md#3.2.s3.b8""]",,Integrated,,XAPI-I-250
,An LRS rejects with error code 400 Bad Request any request to an API which uses a parameter not recognized by the LRS (7.0.a),,,,Defined by spec,0,"""1.0.2_ref_text"": ""7.0.a"",

""1.0.2_ref"": ""7.0.a"",

""1.0.3_ref"": ""part3.3.2.o"",

""1.0.3_link"": [

""Communication.md#3.2.s2.b1""

]",,Integrated,,XAPI-I-249
,"An LRS implements all of the Statement, State, Agent, and Activity Profile sub-APIs Implicit",,,,Implied by spec,0,,,Integrated,,XAPI-I-248
,"An LRS sends a header response with ""X-Experience-API-Version"" as the name and ""1.0.1"" as the value (Format, 6.2.a, 6.2.b)",,,,Defined by spec,0,,,Integrated,,XAPI-I-247
,"An LRS will not modify Statements based on a ""version"" before ""1.0.1"" (6.2.l)",,,,"Defined by spec,Version",0,"""1.0.2_ref_text"": ""6.2.l"",

""1.0.2_ref"": ""6.2.l"",

""1.0.3_ref"": ""part3.3.3.m"",

""1.0.3_link"": [""Communication.md#3.3.s3.b4""]",,Integrated,,XAPI-I-246
,"An LRS modifies the value of the header of any Statement not rejected by the previous three requirements to ""1.0.1"" (4.1.10.b)",,,,Defined by spec,0,,,Integrated,,XAPI-I-245
,"An LRS rejects with error code 400 Bad Request, a Request which the ""X-Experience-API-Version"" header's value is anything but ""1.0"" or ""1.0.x"", where x is the semantic versioning number to any API except the About API (Format, 6.2.d, 6.2.e, 6.2.f, 7.7.f)",,,,"Defined by spec,Version,Format",0,"""1.0.2_ref_text"": ""Format, 6.2.d, 6.2.e, 6.2.f, 7.7.f"",

""1.0.2_ref"": ""6.2.d, 6.2.e, 6.2.f, 7.7.c"",

""1.0.3_ref"": ""part3.3.3.d, part3.3.3.f, part3.3.3.g, part3.2.8.d"",

""1.0.3_link"": [

""Communication.md#3.3.s3.b4"",""Communication.md#3.3.s3.b6""

]",,Integrated,,XAPI-I-244
,"An LRS rejects with error code 400 Bad Request, a Request which does not use a ""X-Experience-API-Version"" header name to any API except the About API (Format, 6.2.a, 6.2.f, 7.7.f)",,,,"Defined by spec,Format",0,"""1.0.2_ref_text"": ""Format, 6.2.a, 6.2.f, 7.7.f"",

""1.0.2_ref"": ""6.2.a, 6.2.f, 7.7.f"",

""1.0.3_ref"": ""part3.3.3.a, part3.3.3.g, part3.2.8.f"",

""1.0.3_link"": [""Communication.md#3.3.s4.b1"", ""Communication.md#3.3.s3.b7"", ""Communication.md#2.8.s5.b4""]",,Integrated,,XAPI-I-243
,"An LRS's Statement API will reject a GET request having the ""attachment"" parameter set to ""false"" and the Content-Type field in the header set to anything but ""application/json"" (7.2.3.d) (7.2.3.e)",,,,Defined by spec,0,,,Integrated,,XAPI-I-242
,"An LRS's Statement API will reject a GET request having the ""attachment"" parameter set to ""false"" if it includes attachment raw data (7.2.3.e)",,,,Defined by spec,0,,,Integrated,,XAPI-I-241
,"An LRS's Statement API will reject a GET request having the ""attachment"" parameter set to ""true"" if it does not follow the rest of the attachment rules (7.2.3.d)",,,,Defined by spec,0,,,Integrated,,XAPI-I-240
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and for any part except the first does not have a Header named ""X-Experience-API-Hash"" with a value of one of those found in a ""sha2"" property of a Statement in the first part of this document (4.1.11.b.c, 4.1.11.b.d)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.11.b.c, 4.1.11.b.d"",

""1.0.2_ref"": ""4.1.11.b.c, 4.1.11.b.d"",

""1.0.3_link"": [""Communication.md#1.5.2.s2.b2.b3"", ""Communication.md#1.5.2.s1.b4""]",,Integrated,,XAPI-I-239
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and for any part except the first does not have a Header named ""Content-Transfer-Encoding"" with a value of ""binary"" (4.1.11.b.c, 4.1.11.b.e)",,,,Defined by spec,0,,,Integrated,,XAPI-I-238
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and does not have all of the Statements in the first document part (RFC 1341, 4.1.11.b.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""RFC 1341, 4.1.11.b.a"",

""1.0.2_ref"": ""RFC 1341, 4.1.11.b.a"",

""1.0.3_link"": [""Communication.md#1.5.2.s2.b2.b1""]",,Integrated,,XAPI-I-237
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and does not the first document part with a ""Content-Type"" header with a value of ""application/json"" (RFC 1341, 4.1.11.b.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""RFC 1341, 4.1.11.b.a"",

""1.0.2_ref"": ""RFC 1341, 4.1.11.b.a"",

""1.0.3_link"": [""Communication.md#1.5.2.s2.b2.b1""]",,Integrated,,XAPI-I-236
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and does not have a Boundary before each ""Content-Type"" header (4.1.11.b, RFC 1341)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.11.b, RFC 1341"",

""1.0.2_ref"": ""4.1.11.b, RFC 1341"",

""1.0.3_link"": [""Communication.md#1.5.2.s2.b2""]",,Integrated,,XAPI-I-235
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and does not have a body header named ""MIME-Version"" with a value of ""1.0"" or greater (4.1.11.b, RFC 1341)",,,,Defined by spec,0,,,Integrated,,XAPI-I-234
,"A Boundary is defined as the value of the body header named ""boundary"" (Definition, 4.1.11.b, RFC 1341)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""Definition, 4.1.11.b, RFC 1341"",

""1.0.2_ref"": ""4.1.11.b, RFC 1341"",

""1.0.3_link"": [""Communication.md#1.5.2.s2.b2""]",,Integrated,,XAPI-I-233
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and does not have a body header named ""boundary"" (4.1.11.b, RFC 1341)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.11.b, RFC 1341"",

""1.0.2_ref"": ""4.1.11.b, RFC 1341"",

""1.0.3_link"": [""Communication.md#1.5.2.s2.b2""]",,Integrated,,XAPI-I-232
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content Type"" header with value ""multipart/mixed"", and does not have a body header named ""Content-Type"" with value ""multipart/mixed"" (RFC 1341)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""RFC 1341"",

""1.0.2_ref"": ""4.1.11.b, RFC 1341"",

""1.0.3_ref"": ""part2.2.5.d""",,Integrated,,XAPI-I-231
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments, has a ""Content-Type"" header with value ""application/json"", and has a discrepancy in the number of Attachments vs. the number of fileURL members (4.1.11.a)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.11.a"",

""1.0.2_ref"": ""4.1.11.a"",

""1.0.3_link"": [""Communication.md#1.5.1.s1.b2""]",,Integrated,,XAPI-I-230
,"An LRS rejects with error code 400 Bad Request, a PUT or POST Request which uses Attachments and does not have a ""Content-Type"" header with value ""application/json"" or ""multipart/mixed"" (Format, 4.1.11.a, 4.1.11.b)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""Format, 4.1.11.a, 4.1.11.b"",

""1.0.2_ref"": ""4.1.11.a, 4.1.11.b"",

""1.0.3_ref"": ""part2.2.4.11"",

""1.0.3_link"": [""Communication.md#1.5""]",,Integrated,,XAPI-I-229
,"An LRS rejects with error code 400 Bad Request, a Request which uses ""version"" and has the value set to anything but ""1.0"" or ""1.0.x"", where x is the semantic versioning number (Format, 4.1.10.b, 6.2.c, 6.2.f)",,,,"Defined by spec,Version",0,"""1.0.2_ref_text"": ""Format, 4.1.10.b, 6.2.c, 6.2.f"",

""1.0.2_ref"": ""4.1.10.b, 4.1.10.c, 6.2.c, 6.2.f"",

""1.0.3_ref"": ""part2.2.4.10.b, part2.2.4.10.c, part3.3.3.c, part3.3.3.f"",

""1.0.3_link"": [

""Data.md#2.4.10.s2.b1"",""Data.md#2.4.10.s3.b1"",""Communication.md#3.3.s3.b3"",""Communication.md#3.3.s3.b6""

]",,Integrated,,XAPI-I-228
,"An LRS populates the ""authority"" property if it is not provided in the Statement, based on header information with the Agent corresponding to the user (contained within the header) (Implicit, 4.1.9.b, 4.1.9.c)",,,,"Implied by spec,Authority",0,"""1.0.2_ref_text"": ""Implicit, 4.1.9.b, 4.1.9.c"",

""1.0.2_ref"": ""Implicit, 4.1.9.b, 4.1.9.c"",

""1.0.3_ref"": ""Implicit, part2.2.4.9.b, part2.2.4.9.c"",

""1.0.3_link"": [""Data.md#2.4.9.s3.b4""]",,Integrated,,XAPI-I-227
,"An LRS rejects with error code 403 Forbidden a Request whose ""authority"" is a Agent or Group that is not authorized (4.1.9.b, 6.4.2)",,,,"Defined by spec,Security and Authentication,Authority",0,"""1.0.2_ref_text"": ""4.1.9.b, 6.4.2"",

""1.0.2_ref"": ""4.1.9.b, 6.4.2"",

""1.0.3_ref"": ""part2.2.4.9"",

""1.0.3_link"": [

""Communication.md#3.2.s3.b11""

]

},",,Integrated,,XAPI-I-226
,"An LRS rejects with error code 400 Bad Request, a Request whose ""authority"" is a Group and consists of non-O-Auth Agents (4.1.9.a)",,,,"Defined by spec,Security and Authentication",0,"""1.0.2_ref_text"": ""4.1.9.a"",

""1.0.2_ref"": ""4.1.9.a"",

""1.0.3_ref"": ""part2.2.4.9"",

""1.0.3_link"": [

""Data.md#2.4.9.s3.b1""",,Integrated,,XAPI-I-225
,"An LRS rejects with error code 400 Bad Request, a Request whose ""authority"" is a Group of more than two Agents (Format, 4.1.9.a)",,,,"Defined by spec,Authority,Agent",0,"""1.0.2_ref_text"": ""Format, 4.1.9.a"",

""1.0.2_ref"": ""4.1.9.a"",

""1.0.3_ref"": ""part2.2.4.9.a"",

""1.0.3_link"": [

""Data.md#2.4.9.s3.b1""

]",,Integrated,,XAPI-I-224
,"An LRS returns a ContextActivity in an array, even if only a single ContextActivity is returned (4.1.6.2.c, 4.1.6.2.d)",,,,"Defined by spec,Context",0,"""1.0.2_ref_text"": ""4.1.6.2.c, 4.1.6.2.d"",

""1.0.2_ref"": ""4.1.6.2.c, 4.1.6.2.d"",

""1.0.3_ref"": ""part2.2.4.6.2.c, part2.2.4.6.2.d"",

""1.0.3_link"": [""Data.md#2.4.6.2.s4.b3""]",,Integrated,,XAPI-I-223
,"An LRS generates an ""objectType"" property of ""Activity"" to any ""object"" property if none is provided (Modify, 4.1.4.a) Implicit",,,,"Implied by spec,objectType,Activity,Object",0,"""1.0.2_ref_text"": ""Modify, 4.1.4.a"",

""1.0.2_ref"": ""4.1.4.a"",

""1.0.3_ref"": ""part2.2.4.4.a"",

""1.0.3_link"": [

""Data.md#2.4.4.s2""

]",,Integrated,,XAPI-I-222
,"An LRS generates the ""id"" property of a Statement if none is provided (Modify, 4.1.1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-221
,An LRS stores 32-bit floating point numbers with at least the precision of IEEE 754 (4.1.12.d.a),,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.12.d.a"",

""1.0.2_ref"": ""4.1.12.g"",

""1.0.3_ref"": ""part2.2.2.m"",

""1.0.3_link"": [

""Data.md#2.2.s4.b3""

]",,Integrated,,XAPI-I-220
,"An LRS rejects with error code 400 Bad Request any Statement having a property whose value is set to ""null"", except in an ""extensions"" property (4.1.12.d.a)",,,,"Defined by spec,Extensions",0,"""1.0.2_ref_text"": ""4.1.12.d.a"",

""1.0.2_ref"": ""4.1.12.d.a"",

""1.0.3_ref"": ""part2.2.2.k.a"",

""1.0.3_link"": [

""Data.md#2.2.s4.b1.b1""

]",,Integrated,,XAPI-I-219
,"An LRS doesn't make any adjustments to incoming Statements that are not specifically mentioned in this section (4.1.12.d, Varies)",,,,Defined by spec,0,,,Integrated,,XAPI-I-218
,"An LRS rejects with error code 400 Bad Request any Statement violating a Statement Requirement. (4.1.12, Varies)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.12, Varies"",

""1.0.2_ref"": ""4.1.12, Varies"",

""1.0.3_ref"": ""part2.2.2, Varies"",

""1.0.3_link"": [

""Data.md#2.2.s4""

]",,Integrated,,XAPI-I-217
,"An LRS makes no modifications to stored data for any rejected request (Multiple, including 7.3.e)",,,,Defined by spec,0,,,Integrated,,XAPI-I-216
,"A Person Object's ""account"" property is an Array of Account Objects (Multiplicity, 7.6.table1.row6.a)",,,,"Defined by spec,Object,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row6.a"",

""1.0.2_ref"": ""7.6.table1.row6.a"",

""1.0.3_ref"": ""part3.2.4.table2.row6.a"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row6""

]",,Integrated,,XAPI-I-215
,"A Person Object uses an ""account"" property at most one time (Multiplicity, 7.6.table1.row6.c)",,,,"Defined by spec,Multiplicity,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row6.c"",

""1.0.2_ref"": ""7.6.table1.row6.c"",

""1.0.3_ref"": ""part3.2.4.table2.row6.c"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row6""

]",,Integrated,,XAPI-I-214
,"A Person Object's ""openid"" property is an Array of Strings (Multiplicity, 7.6.table1.row5.a)",,,,"Defined by spec,Object,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row5.a"",

""1.0.2_ref"": ""7.6.table1.row5.a"",

""1.0.3_ref"": ""part3.2.4.table2.row5.a"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row5""

]",,Integrated,,XAPI-I-213
,"A Person Object uses an ""openid"" property at most one time (Multiplicity, 7.6.table1.row5.c)",,,,"Defined by spec,Object,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row5.c"",

""1.0.2_ref"": ""7.6.table1.row5.c"",

""1.0.3_ref"": ""part3.2.4.table2.row5.c"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row5""

]",,Integrated,,XAPI-I-212
,"A Person Object's ""mbox_sha1sum"" property is an Array of Strings (Multiplicity, 7.6.table1.row4.a)",,,,"Defined by spec,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row4.a"",

""1.0.2_ref"": ""7.6.table1.row4.a"",

""1.0.3_ref"": ""part3.2.4.table2.row4.a"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row4""

]",,Integrated,,XAPI-I-211
,"A Person Object uses a ""mbox_sha1sum"" property at most one time (Multiplicity, 7.6.table1.row4.c)",,,,"Defined by spec,Multiplicity,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row4.c"",

""1.0.2_ref"": ""7.6.table1.row4.c"",

""1.0.3_ref"": ""part3.2.4.table2.row4.c"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row4""

]",,Integrated,,XAPI-I-210
,"A Person Object's ""mbox"" entries have the form ""mailto:emailaddress"" (Format, 7.6.table1.row3.a)",,,,"Defined by spec,Format",0,"""1.0.2_ref_text"": ""Format, 7.6.table1.row3.a"",

""1.0.2_ref"": ""7.6.table1.row3.a"",

""1.0.3_ref"": ""part3.2.4.table2.row3.a"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row3""

]",,Integrated,,XAPI-I-209
,"A Person Object's ""mbox"" property is an Array of IRIs (Multiplicity, 7.6.table1.row3.a)",,,,"Defined by spec,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row3.a"",

""1.0.2_ref"": ""7.6.table1.row3.a"",

""1.0.3_ref"": ""part3.2.4.table2.row3.a"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row3""

]",,Integrated,,XAPI-I-208
,"A Person Object uses a ""mbox"" property at most one time (Multiplicity, 7.6.table1.row3.c)",,,,"Defined by spec,Multiplicity,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row3.c"",

""1.0.2_ref"": ""7.6.table1.row3.c"",

""1.0.3_ref"": ""part3.2.4.table2.row3.c"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row3""

]",,Integrated,,XAPI-I-207
,"A Person Object's ""name"" property is an Array of Strings (Multiplicity, 7.6.table1.row2.a)",,,,"Defined by spec,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row2.a"",

""1.0.2_ref"": ""7.6.table1.row2.a"",

""1.0.3_ref"": ""part3.2.4.table2.row2.a"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row2""

]",,Integrated,,XAPI-I-206
,"A Person Object uses a ""name"" property at most one time (Multiplicity, 7.6.table1.row2.c)",,,,"Defined by spec,Object,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row2.c"",

""1.0.2_ref"": ""7.6.table1.row2.c"",

""1.0.3_ref"": ""part3.2.4.table2.row2.c"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row2""

]",,Integrated,,XAPI-I-205
,"A Person Object's ""objectType"" property is a String and is ""Person"" (Format, Vocabulary, 7.6.table1.row1.a, 7.6.table1.row1.b)",,,,"Defined by spec,Format,Vocabulary,Object",0,"""1.0.2_ref_text"": ""Format, Vocabulary, 7.6.table1.row1.a, 7.6.table1.row1.b"",

""1.0.2_ref"": ""7.6.table1.row1.a, 7.6.table1.row1.b"",

""1.0.3_ref"": ""part3.2.4.table2.row1.a, part3.2.4.table1.row1.b"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row1""

]",,Integrated,,XAPI-I-204
,"A Person Object uses an ""objectType"" property exactly one time (Multiplicity, 7.6.table1.row1.c)",,,,"Defined by spec,Multiplicity,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 7.6.table1.row1.c"",

""1.0.2_ref"": ""7.6.table1.row1.c"",

""1.0.3_ref"": ""part3.2.4.table2.row1.c"",

""1.0.3_link"": [

""Communication.md#2.4.s5.table1.row1""

]",,Integrated,,XAPI-I-203
,A Person Object is an Object (7.6),,,,"Defined by spec,Object",0,"""1.0.2_ref_text"": ""7.6"",

""1.0.2_ref"": ""7.6"",

""1.0.3_ref"": ""part3.2.4, part3.2.4.table1.row1.a"",

""1.0.3_link"": [

""Communication.md#2.4.s2""

]",,Integrated,,XAPI-I-202
,"A Sub-Statement cannot use the ""authority"" property (4.1.12)",,,,"Defined by spec,Authority",0,"""1.0.2_ref_text"": ""4.1.4.3.f"",

""1.0.2_ref"": ""4.1.4.3.f"",

""1.0.3_ref"": ""part2.2.4.4.3.e"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b3""

]",,Integrated,,XAPI-I-201
,"A ""fileUrl"" property is an IRL (Format, 4.1.11.table1.row7.a)",,,,"Defined by spec,Attachment",0,"""1.0.2_ref_text"": ""Format, 4.1.11.table1.row7.a"",

""1.0.2_ref"": ""4.1.11.table1.row7.a"",

""1.0.3_ref"": ""part2.2.4.11.table1.row7.a"",

""1.0.3_link"": [

""Data.md#2.4.11.s2.table1.row7""

]",,Integrated,,XAPI-I-200
,"An Attachment uses a ""fileUrl"" property at most one time (Multiplicity, 4.1.11.table1.row7.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-199
,"A ""sha2"" property is a String (Format, 4.1.11.table1.row6.a)",,,,"Defined by spec,Format,Attachment",0,"""1.0.2_ref_text"": ""Format, 4.1.11.table1.row6.a"",

""1.0.2_ref"": ""4.1.11.table1.row6.a"",

""1.0.3_ref"": ""part2.2.4.11.table1.row6.a"",

""1.0.3_link"": [

""Data.md#2.4.11.s2.table1.row6""

]",,Integrated,,XAPI-I-198
